,Season,Season Name,Name,Age,Hometown,Profession,Finish,Premiering Date,Finale Date,text
748,41,41,Erika Casupanan,32,"Toronto, ON, Can.",Communications Manager,Winner,"September 22, 2021","December 15, 2021","Erika Casupanan is a Winner of  USA Survivor Season 41 titled 41, 
    Erika Casupanan is 32 years old from Toronto, ON, Can. and works as Communications Manager. 
    Season 41 titled 41 aired during September 22, 2021 and December 15, 2021
    "
749,42,42,Jackson Fox,48,"Houston, TX",Healthcare Worker,18th,"March 9, 2022","May 25, 2022","Jackson Fox finishes 18th in  USA Survivor Season 42 titled 42, 
    Jackson Fox is 48 years old from Houston, TX and works as Healthcare Worker. 
    Season 42 titled 42 aired during March 9, 2022 and May 25, 2022
    "
750,42,42,"Zachary ""Zach"" Wurtenberger",22,"St. Louis, MO",Student,17th,"March 9, 2022","May 25, 2022","Zachary ""Zach"" Wurtenberger finishes 17th in  USA Survivor Season 42 titled 42, 
    Zachary ""Zach"" Wurtenberger is 22 years old from St. Louis, MO and works as Student. 
    Season 42 titled 42 aired during March 9, 2022 and May 25, 2022
    "
751,42,42,Marya Sherron,47,"Noblesville, IN",Stay-at-Home Mom,16th,"March 9, 2022","May 25, 2022","Marya Sherron finishes 16th in  USA Survivor Season 42 titled 42, 
    Marya Sherron is 47 years old from Noblesville, IN and works as Stay-at-Home Mom. 
    Season 42 titled 42 aired during March 9, 2022 and May 25, 2022
    "
752,42,42,Jenny Kim,43,"Brooklyn, NY",Creative Director,15th,"March 9, 2022","May 25, 2022","Jenny Kim finishes 15th in  USA Survivor Season 42 titled 42, 
    Jenny Kim is 43 years old from Brooklyn, NY and works as Creative Director. 
    Season 42 titled 42 aired during March 9, 2022 and May 25, 2022
    "
753,42,42,Swati Goel,19,"Palo Alto, CA",Ivy League Student,14th,"March 9, 2022","May 25, 2022","Swati Goel finishes 14th in  USA Survivor Season 42 titled 42, 
    Swati Goel is 19 years old from Palo Alto, CA and works as Ivy League Student. 
    Season 42 titled 42 aired during March 9, 2022 and May 25, 2022
    "
754,42,42,Daniel Strunk,30,"New Haven, CT",Law Clerk,13th,"March 9, 2022","May 25, 2022","Daniel Strunk finishes 13th in  USA Survivor Season 42 titled 42, 
    Daniel Strunk is 30 years old from New Haven, CT and works as Law Clerk. 
    Season 42 titled 42 aired during March 9, 2022 and May 25, 2022
    "
755,42,42,Lydia Meredith,22,"Santa Monica, CA",Waitress,12th,"March 9, 2022","May 25, 2022","Lydia Meredith finishes 12th in  USA Survivor Season 42 titled 42, 
    Lydia Meredith is 22 years old from Santa Monica, CA and works as Waitress. 
    Season 42 titled 42 aired during March 9, 2022 and May 25, 2022
    "
756,42,42,Chanelle Howell,29,"New York, NY",Executive Recruiter,11th,"March 9, 2022","May 25, 2022","Chanelle Howell finishes 11th in  USA Survivor Season 42 titled 42, 
    Chanelle Howell is 29 years old from New York, NY and works as Executive Recruiter. 
    Season 42 titled 42 aired during March 9, 2022 and May 25, 2022
    "
757,42,42,Rocksroy Bailey,44,"Las Vegas, NV",Stay-at-Home Dad,10th,"March 9, 2022","May 25, 2022","Rocksroy Bailey finishes 10th in  USA Survivor Season 42 titled 42, 
    Rocksroy Bailey is 44 years old from Las Vegas, NV and works as Stay-at-Home Dad. 
    Season 42 titled 42 aired during March 9, 2022 and May 25, 2022
    "
758,42,42,Tori Meehan,25,"Rogers, AR",Therapist,9th,"March 9, 2022","May 25, 2022","Tori Meehan finishes 9th in  USA Survivor Season 42 titled 42, 
    Tori Meehan is 25 years old from Rogers, AR and works as Therapist. 
    Season 42 titled 42 aired during March 9, 2022 and May 25, 2022
    "
759,42,42,Hai Giang,29,"New Orleans, LA",Data Scientist,8th,"March 9, 2022","May 25, 2022","Hai Giang finishes 8th in  USA Survivor Season 42 titled 42, 
    Hai Giang is 29 years old from New Orleans, LA and works as Data Scientist. 
    Season 42 titled 42 aired during March 9, 2022 and May 25, 2022
    "
760,42,42,"Andrea ""Drea"" Wheeler",35,"Montreal, QC, Can.",Fitness Consultant,7th,"March 9, 2022","May 25, 2022","Andrea ""Drea"" Wheeler finishes 7th in  USA Survivor Season 42 titled 42, 
    Andrea ""Drea"" Wheeler is 35 years old from Montreal, QC, Can. and works as Fitness Consultant. 
    Season 42 titled 42 aired during March 9, 2022 and May 25, 2022
    "
761,42,42,Omar Zaheer,31,"Whitby, ON, Can.",Veterinarian,6th,"March 9, 2022","May 25, 2022","Omar Zaheer finishes 6th in  USA Survivor Season 42 titled 42, 
    Omar Zaheer is 31 years old from Whitby, ON, Can. and works as Veterinarian. 
    Season 42 titled 42 aired during March 9, 2022 and May 25, 2022
    "
762,42,42,Lindsay Dolashewich,31,"Asbury Park, NJ",Dietitian,5th,"March 9, 2022","May 25, 2022","Lindsay Dolashewich finishes 5th in  USA Survivor Season 42 titled 42, 
    Lindsay Dolashewich is 31 years old from Asbury Park, NJ and works as Dietitian. 
    Season 42 titled 42 aired during March 9, 2022 and May 25, 2022
    "
763,42,42,Jonathan Young,29,"Gulf Shores, AL",Beach Service Company Owner,4th,"March 9, 2022","May 25, 2022","Jonathan Young finishes 4th in  USA Survivor Season 42 titled 42, 
    Jonathan Young is 29 years old from Gulf Shores, AL and works as Beach Service Company Owner. 
    Season 42 titled 42 aired during March 9, 2022 and May 25, 2022
    "
764,42,42,Romeo Escobar,37,"Norwalk, CA",Pageant Coach,2nd Runner-up,"March 9, 2022","May 25, 2022","Romeo Escobar finishes 2nd Runner-up in  USA Survivor Season 42 titled 42, 
    Romeo Escobar is 37 years old from Norwalk, CA and works as Pageant Coach. 
    Season 42 titled 42 aired during March 9, 2022 and May 25, 2022
    "
765,42,42,"Michael ""Mike"" Turner",58,"Hoboken, NJ",Retired Firefighter,Runner-Up,"March 9, 2022","May 25, 2022","Michael ""Mike"" Turner finishes Runner-Up in  USA Survivor Season 42 titled 42, 
    Michael ""Mike"" Turner is 58 years old from Hoboken, NJ and works as Retired Firefighter. 
    Season 42 titled 42 aired during March 9, 2022 and May 25, 2022
    "
766,42,42,Maryanne Oketch,24,"Ajax, ON, Can.",Seminary Student,Winner,"March 9, 2022","May 25, 2022","Maryanne Oketch is a Winner of  USA Survivor Season 42 titled 42, 
    Maryanne Oketch is 24 years old from Ajax, ON, Can. and works as Seminary Student. 
    Season 42 titled 42 aired during March 9, 2022 and May 25, 2022
    "
767,43,43,Morriah Young,28,"Philadelphia, PA",Teacher,18th,"September 21, 2022","December 14, 2022","Morriah Young finishes 18th in  USA Survivor Season 43 titled 43, 
    Morriah Young is 28 years old from Philadelphia, PA and works as Teacher. 
    Season 43 titled 43 aired during September 21, 2022 and December 14, 2022
    "
768,43,43,Justine Brennan,29,"Marina del Ray, CA",Cyber Security Saleswoman,17th,"September 21, 2022","December 14, 2022","Justine Brennan finishes 17th in  USA Survivor Season 43 titled 43, 
    Justine Brennan is 29 years old from Marina del Ray, CA and works as Cyber Security Saleswoman. 
    Season 43 titled 43 aired during September 21, 2022 and December 14, 2022
    "
769,43,43,Nneka Ejere,43,"Weatherford, TX",Pharmacist,16th,"September 21, 2022","December 14, 2022","Nneka Ejere finishes 16th in  USA Survivor Season 43 titled 43, 
    Nneka Ejere is 43 years old from Weatherford, TX and works as Pharmacist. 
    Season 43 titled 43 aired during September 21, 2022 and December 14, 2022
    "
770,43,43,Lindsay Carmine,42,"Downingtown, PA",Pediatric Nurse,15th,"September 21, 2022","December 14, 2022","Lindsay Carmine finishes 15th in  USA Survivor Season 43 titled 43, 
    Lindsay Carmine is 42 years old from Downingtown, PA and works as Pediatric Nurse. 
    Season 43 titled 43 aired during September 21, 2022 and December 14, 2022
    "
771,43,43,Geo Bustamante,35,"Honolulu, HI",Project Manager,14th,"September 21, 2022","December 14, 2022","Geo Bustamante finishes 14th in  USA Survivor Season 43 titled 43, 
    Geo Bustamante is 35 years old from Honolulu, HI and works as Project Manager. 
    Season 43 titled 43 aired during September 21, 2022 and December 14, 2022
    "
772,43,43,"Elisabeth ""Elie"" Scott",31,"Salt Lake City, UT",Clinical Psychologist,13th,"September 21, 2022","December 14, 2022","Elisabeth ""Elie"" Scott finishes 13th in  USA Survivor Season 43 titled 43, 
    Elisabeth ""Elie"" Scott is 31 years old from Salt Lake City, UT and works as Clinical Psychologist. 
    Season 43 titled 43 aired during September 21, 2022 and December 14, 2022
    "
773,43,43,Dwight Moore,22,"Collierville, TN",Graduate Student,12th,"September 21, 2022","December 14, 2022","Dwight Moore finishes 12th in  USA Survivor Season 43 titled 43, 
    Dwight Moore is 22 years old from Collierville, TN and works as Graduate Student. 
    Season 43 titled 43 aired during September 21, 2022 and December 14, 2022
    "
774,43,43,Jeanine Zheng,24,"San Francisco, CA",UX Designer,11th,"September 21, 2022","December 14, 2022","Jeanine Zheng finishes 11th in  USA Survivor Season 43 titled 43, 
    Jeanine Zheng is 24 years old from San Francisco, CA and works as UX Designer. 
    Season 43 titled 43 aired during September 21, 2022 and December 14, 2022
    "
775,43,43,James Jones,37,"Philadelphia, PA",Event Planner,10th,"September 21, 2022","December 14, 2022","James Jones finishes 10th in  USA Survivor Season 43 titled 43, 
    James Jones is 37 years old from Philadelphia, PA and works as Event Planner. 
    Season 43 titled 43 aired during September 21, 2022 and December 14, 2022
    "
776,43,43,Ryan Medrano,24,"El Paso, TX",Warehouse Associate,9th,"September 21, 2022","December 14, 2022","Ryan Medrano finishes 9th in  USA Survivor Season 43 titled 43, 
    Ryan Medrano is 24 years old from El Paso, TX and works as Warehouse Associate. 
    Season 43 titled 43 aired during September 21, 2022 and December 14, 2022
    "
777,43,43,Noelle Lambert,25,"Manchester, NH",Paralympian,8th,"September 21, 2022","December 14, 2022","Noelle Lambert finishes 8th in  USA Survivor Season 43 titled 43, 
    Noelle Lambert is 25 years old from Manchester, NH and works as Paralympian. 
    Season 43 titled 43 aired during September 21, 2022 and December 14, 2022
    "
778,43,43,Sami Layadi,19,"Las Vegas, NV",Pet Cremator,7th,"September 21, 2022","December 14, 2022","Sami Layadi finishes 7th in  USA Survivor Season 43 titled 43, 
    Sami Layadi is 19 years old from Las Vegas, NV and works as Pet Cremator. 
    Season 43 titled 43 aired during September 21, 2022 and December 14, 2022
    "
779,43,43,Cody Assenmacher,35,"Honolulu, HI",Elevator Salesman,6th,"September 21, 2022","December 14, 2022","Cody Assenmacher finishes 6th in  USA Survivor Season 43 titled 43, 
    Cody Assenmacher is 35 years old from Honolulu, HI and works as Elevator Salesman. 
    Season 43 titled 43 aired during September 21, 2022 and December 14, 2022
    "
780,43,43,Karla Cruz Godoy,28,"Newark, DE",Educational Project Manager,5th,"September 21, 2022","December 14, 2022","Karla Cruz Godoy finishes 5th in  USA Survivor Season 43 titled 43, 
    Karla Cruz Godoy is 28 years old from Newark, DE and works as Educational Project Manager. 
    Season 43 titled 43 aired during September 21, 2022 and December 14, 2022
    "
781,43,43,Jesse Lopez,30,"Durham, NC",Political Science PhD,4th,"September 21, 2022","December 14, 2022","Jesse Lopez finishes 4th in  USA Survivor Season 43 titled 43, 
    Jesse Lopez is 30 years old from Durham, NC and works as Political Science PhD. 
    Season 43 titled 43 aired during September 21, 2022 and December 14, 2022
    "
782,43,43,Owen Knight,29,"New Orleans, LA",College Admissions Director,2nd Runner-Up,"September 21, 2022","December 14, 2022","Owen Knight finishes 2nd Runner-Up in  USA Survivor Season 43 titled 43, 
    Owen Knight is 29 years old from New Orleans, LA and works as College Admissions Director. 
    Season 43 titled 43 aired during September 21, 2022 and December 14, 2022
    "
783,43,43,Cassidy Clark,26,"Austin, TX",Designer,Runner-Up,"September 21, 2022","December 14, 2022","Cassidy Clark finishes Runner-Up in  USA Survivor Season 43 titled 43, 
    Cassidy Clark is 26 years old from Austin, TX and works as Designer. 
    Season 43 titled 43 aired during September 21, 2022 and December 14, 2022
    "
784,43,43,Mike Gabler,52,"Meridian, ID",Heart Valve Specialist,Winner,"September 21, 2022","December 14, 2022","Mike Gabler is a Winner of  USA Survivor Season 43 titled 43, 
    Mike Gabler is 52 years old from Meridian, ID and works as Heart Valve Specialist. 
    Season 43 titled 43 aired during September 21, 2022 and December 14, 2022
    "
785,44,44,Bruce Perreault,46,"West Warwick, RI",Insurance Agent,18th,"March 1, 2023","May 24, 2023","Bruce Perreault finishes 18th in  USA Survivor Season 44 titled 44, 
    Bruce Perreault is 46 years old from West Warwick, RI and works as Insurance Agent. 
    Season 44 titled 44 aired during March 1, 2023 and May 24, 2023
    "
786,44,44,Maddy Pomilla,28,"Huntingtown, MD",Charity Projects Manager,17th,"March 1, 2023","May 24, 2023","Maddy Pomilla finishes 17th in  USA Survivor Season 44 titled 44, 
    Maddy Pomilla is 28 years old from Huntingtown, MD and works as Charity Projects Manager. 
    Season 44 titled 44 aired during March 1, 2023 and May 24, 2023
    "
787,44,44,Helen Li,29,"San Francisco, CA",Product Manager,16th,"March 1, 2023","May 24, 2023","Helen Li finishes 16th in  USA Survivor Season 44 titled 44, 
    Helen Li is 29 years old from San Francisco, CA and works as Product Manager. 
    Season 44 titled 44 aired during March 1, 2023 and May 24, 2023
    "
788,44,44,Claire Rafson,25,"Highland Park, IL",Tech Investor,15th,"March 1, 2023","May 24, 2023","Claire Rafson finishes 15th in  USA Survivor Season 44 titled 44, 
    Claire Rafson is 25 years old from Highland Park, IL and works as Tech Investor. 
    Season 44 titled 44 aired during March 1, 2023 and May 24, 2023
    "
789,44,44,Sarah Wade,27,"Rochester, MN",Management Consultant,14th,"March 1, 2023","May 24, 2023","Sarah Wade finishes 14th in  USA Survivor Season 44 titled 44, 
    Sarah Wade is 27 years old from Rochester, MN and works as Management Consultant. 
    Season 44 titled 44 aired during March 1, 2023 and May 24, 2023
    "
790,44,44,Matthew Grinstead-Mayle,43,"Pickerington, OH",Barbershop Owner,13th,"March 1, 2023","May 24, 2023","Matthew Grinstead-Mayle finishes 13th in  USA Survivor Season 44 titled 44, 
    Matthew Grinstead-Mayle is 43 years old from Pickerington, OH and works as Barbershop Owner. 
    Season 44 titled 44 aired during March 1, 2023 and May 24, 2023
    "
791,44,44,Josh Wilder,34,"Cincinnati, OH",Surgical Podiatrist,12th,"March 1, 2023","May 24, 2023","Josh Wilder finishes 12th in  USA Survivor Season 44 titled 44, 
    Josh Wilder is 34 years old from Cincinnati, OH and works as Surgical Podiatrist. 
    Season 44 titled 44 aired during March 1, 2023 and May 24, 2023
    "
792,44,44,"Matthew ""Matt"" Blankinship",27,"Albany, CA",Security Software Engineer,11th,"March 1, 2023","May 24, 2023","Matthew ""Matt"" Blankinship finishes 11th in  USA Survivor Season 44 titled 44, 
    Matthew ""Matt"" Blankinship is 27 years old from Albany, CA and works as Security Software Engineer. 
    Season 44 titled 44 aired during March 1, 2023 and May 24, 2023
    "
793,44,44,Brandon Cottom,30,"Newtown, PA",Security Specialist,10th,"March 1, 2023","May 24, 2023","Brandon Cottom finishes 10th in  USA Survivor Season 44 titled 44, 
    Brandon Cottom is 30 years old from Newtown, PA and works as Security Specialist. 
    Season 44 titled 44 aired during March 1, 2023 and May 24, 2023
    "
794,44,44,Kane Fritzler,25,"Moose Jaw, SK, Can.",Law Student,9th,"March 1, 2023","May 24, 2023","Kane Fritzler finishes 9th in  USA Survivor Season 44 titled 44, 
    Kane Fritzler is 25 years old from Moose Jaw, SK, Can. and works as Law Student. 
    Season 44 titled 44 aired during March 1, 2023 and May 24, 2023
    "
795,44,44,Frannie Marin,23,"St. Paul, MN",Research Coordinator,8th,"March 1, 2023","May 24, 2023","Frannie Marin finishes 8th in  USA Survivor Season 44 titled 44, 
    Frannie Marin is 23 years old from St. Paul, MN and works as Research Coordinator. 
    Season 44 titled 44 aired during March 1, 2023 and May 24, 2023
    "
796,44,44,Danny Massa,32,"Bronx, NY",Firefighter,7th,"March 1, 2023","May 24, 2023","Danny Massa finishes 7th in  USA Survivor Season 44 titled 44, 
    Danny Massa is 32 years old from Bronx, NY and works as Firefighter. 
    Season 44 titled 44 aired during March 1, 2023 and May 24, 2023
    "
797,44,44,Jaime Lynn Ruiz,35,"Mesa, AZ",Yogi,6th,"March 1, 2023","May 24, 2023","Jaime Lynn Ruiz finishes 6th in  USA Survivor Season 44 titled 44, 
    Jaime Lynn Ruiz is 35 years old from Mesa, AZ and works as Yogi. 
    Season 44 titled 44 aired during March 1, 2023 and May 24, 2023
    "
798,44,44,Lauren Harpe,31,"Port Arthur, TX",Elementary School Teacher,5th,"March 1, 2023","May 24, 2023","Lauren Harpe finishes 5th in  USA Survivor Season 44 titled 44, 
    Lauren Harpe is 31 years old from Port Arthur, TX and works as Elementary School Teacher. 
    Season 44 titled 44 aired during March 1, 2023 and May 24, 2023
    "
799,44,44,Carson Garrett,20,"Atlanta, GA",NASA Engineering Student,4th,"March 1, 2023","May 24, 2023","Carson Garrett finishes 4th in  USA Survivor Season 44 titled 44, 
    Carson Garrett is 20 years old from Atlanta, GA and works as NASA Engineering Student. 
    Season 44 titled 44 aired during March 1, 2023 and May 24, 2023
    "
800,44,44,Carolyn Wiger,35,"North St. Paul, MN",Drug Counselor,2nd Runner-Up,"March 1, 2023","May 24, 2023","Carolyn Wiger finishes 2nd Runner-Up in  USA Survivor Season 44 titled 44, 
    Carolyn Wiger is 35 years old from North St. Paul, MN and works as Drug Counselor. 
    Season 44 titled 44 aired during March 1, 2023 and May 24, 2023
    "
801,44,44,Heidi Lagares-Greenblatt,43,"Pittsburgh, PA",Engineering Manager,Runner-Up,"March 1, 2023","May 24, 2023","Heidi Lagares-Greenblatt finishes Runner-Up in  USA Survivor Season 44 titled 44, 
    Heidi Lagares-Greenblatt is 43 years old from Pittsburgh, PA and works as Engineering Manager. 
    Season 44 titled 44 aired during March 1, 2023 and May 24, 2023
    "
802,44,44,"Yamil ""Yam Yam"" Arocho",36,"Bayamón, PR",Salon Owner,Winner,"March 1, 2023","May 24, 2023","Yamil ""Yam Yam"" Arocho is a Winner of  USA Survivor Season 44 titled 44, 
    Yamil ""Yam Yam"" Arocho is 36 years old from Bayamón, PR and works as Salon Owner. 
    Season 44 titled 44 aired during March 1, 2023 and May 24, 2023
    "
803,45,45,Hannah Rose,33,"Baltimore, MD",Therapist,18th,"September 27, 2023","December 20, 2023","Hannah Rose finishes 18th in  USA Survivor Season 45 titled 45, 
    Hannah Rose is 33 years old from Baltimore, MD and works as Therapist. 
    Season 45 titled 45 aired during September 27, 2023 and December 20, 2023
    "
804,45,45,Brandon Donlon,26,"Sicklerville, NJ",Content Producer,17th,"September 27, 2023","December 20, 2023","Brandon Donlon finishes 17th in  USA Survivor Season 45 titled 45, 
    Brandon Donlon is 26 years old from Sicklerville, NJ and works as Content Producer. 
    Season 45 titled 45 aired during September 27, 2023 and December 20, 2023
    "
805,45,45,Sabiyah Broderick,28,"Jacksonville, NC",Truck Driver,16th,"September 27, 2023","December 20, 2023","Sabiyah Broderick finishes 16th in  USA Survivor Season 45 titled 45, 
    Sabiyah Broderick is 28 years old from Jacksonville, NC and works as Truck Driver. 
    Season 45 titled 45 aired during September 27, 2023 and December 20, 2023
    "
806,45,45,Sean Edwards,35,"Provo, UT",School Principal,15th,"September 27, 2023","December 20, 2023","Sean Edwards finishes 15th in  USA Survivor Season 45 titled 45, 
    Sean Edwards is 35 years old from Provo, UT and works as School Principal. 
    Season 45 titled 45 aired during September 27, 2023 and December 20, 2023
    "
807,45,45,"Brandon ""Brando"" Meyer",23,"Seattle, WA",Software Developer,14th,"September 27, 2023","December 20, 2023","Brandon ""Brando"" Meyer finishes 14th in  USA Survivor Season 45 titled 45, 
    Brandon ""Brando"" Meyer is 23 years old from Seattle, WA and works as Software Developer. 
    Season 45 titled 45 aired during September 27, 2023 and December 20, 2023
    "
808,45,45,"Janani ""J. Maya"" Krishnan-Jha",24,"Los Angeles, CA",Singer,13th,"September 27, 2023","December 20, 2023","Janani ""J. Maya"" Krishnan-Jha finishes 13th in  USA Survivor Season 45 titled 45, 
    Janani ""J. Maya"" Krishnan-Jha is 24 years old from Los Angeles, CA and works as Singer. 
    Season 45 titled 45 aired during September 27, 2023 and December 20, 2023
    "
809,45,45,"Nicholas ""Sifu"" Alsup",30,"O'Fallon, IL",Gym Owner,12th,"September 27, 2023","December 20, 2023","Nicholas ""Sifu"" Alsup finishes 12th in  USA Survivor Season 45 titled 45, 
    Nicholas ""Sifu"" Alsup is 30 years old from O'Fallon, IL and works as Gym Owner. 
    Season 45 titled 45 aired during September 27, 2023 and December 20, 2023
    "
810,45,45,Kaleb Gebrewold,29,"Vancouver, BC",Software Sales,11th,"September 27, 2023","December 20, 2023","Kaleb Gebrewold finishes 11th in  USA Survivor Season 45 titled 45, 
    Kaleb Gebrewold is 29 years old from Vancouver, BC and works as Software Sales. 
    Season 45 titled 45 aired during September 27, 2023 and December 20, 2023
    "
811,45,45,Kellie Nalbandian,29,"New York, NY",Critical Care Nurse,10th,"September 27, 2023","December 20, 2023","Kellie Nalbandian finishes 10th in  USA Survivor Season 45 titled 45, 
    Kellie Nalbandian is 29 years old from New York, NY and works as Critical Care Nurse. 
    Season 45 titled 45 aired during September 27, 2023 and December 20, 2023
    "
812,45,45,Kendra McQuarrie,31,"Steamboat Springs, CO",Bartender,9th,"September 27, 2023","December 20, 2023","Kendra McQuarrie finishes 9th in  USA Survivor Season 45 titled 45, 
    Kendra McQuarrie is 31 years old from Steamboat Springs, CO and works as Bartender. 
    Season 45 titled 45 aired during September 27, 2023 and December 20, 2023
    "
813,45,45,Bruce Perreault,47,"West Warwick, RI",Insurance Agent,8th,"September 27, 2023","December 20, 2023","Bruce Perreault finishes 8th in  USA Survivor Season 45 titled 45, 
    Bruce Perreault is 47 years old from West Warwick, RI and works as Insurance Agent. 
    Season 45 titled 45 aired during September 27, 2023 and December 20, 2023
    "
814,45,45,Emily Flippen,28,"Laurel, MD",Investment Analyst,7th,"September 27, 2023","December 20, 2023","Emily Flippen finishes 7th in  USA Survivor Season 45 titled 45, 
    Emily Flippen is 28 years old from Laurel, MD and works as Investment Analyst. 
    Season 45 titled 45 aired during September 27, 2023 and December 20, 2023
    "
